DEALER,TOTAL,MOVE,OTHER
2,8,H,H
2,9,H,H
2,10,H,H
2,11,H,H
2,12,H,H
2,13,H,H
2,14,H,H
2,15,H,H
2,16,H,H
2,17,H,H
3,8,S,S
3,9,S,S
3,10,H,H
3,11,S,S
3,12,H,H
3,13,H,H
3,14,S,S
3,15,S,S
3,16,H,H
3,17,H,H
4,8,H,H
4,9,H,H
4,10,H,H
4,11,S,S
4,12,S,S
4,13,S,S
4,14,S,S
4,15,H,H
4,16,H,H
4,17,H,H
5,8,S,S
5,9,S,S
5,10,S,S
5,11,H,H
5,12,S,S
5,13,S,S
5,14,H,H
5,15,S,S
5,16,H,H
5,17,S,S
6,8,H,H
6,9,S,S
6,10,H,H
6,11,S,S
6,12,H,H
6,13,H,H
6,14,H,H
6,15,S,S
6,16,H,H
6,17,S,S
7,8,H,H
7,9,H,H
7,10,H,H
7,11,H,H
7,12,H,H
7,13,H,H
7,14,S,S
7,15,H,H
7,16,H,H
7,17,H,H
8,8,H,H
8,9,H,H
8,10,H,H
8,11,H,H
8,12,H,H
8,13,H,H
8,14,H,H
8,15,H,H
8,16,H,H
8,17,H,H
9,8,H,H
9,9,H,H
9,10,H,H
9,11,H,H
9,12,H,H
9,13,H,H
9,14,H,H
9,15,H,H
9,16,H,H
9,17,H,H
10,8,H,H
10,9,H,H
10,10,H,H
10,11,H,H
10,12,H,H
10,13,H,H
10,14,H,H
10,15,H,H
10,16,H,H
10,17,H,H
11,8,S,S
11,9,H,H
11,10,S,S
11,11,S,S
11,12,H,H
11,13,H,H
11,14,S,S
11,15,H,H
11,16,H,H
11,17,H,H