DEALER,CARD,MOVE,OTHER
2,2,H,H
2,3,H,H
2,4,H,H
2,5,S,S
2,6,H,H
2,7,S,S
2,8,H,H
2,9,H,H
3,2,S,S
3,3,H,H
3,4,S,S
3,5,S,S
3,6,H,H
3,7,H,H
3,8,H,H
3,9,H,H
4,2,S,S
4,3,H,H
4,4,H,H
4,5,H,H
4,6,S,S
4,7,S,S
4,8,H,H
4,9,H,H
5,2,H,H
5,3,S,S
5,4,H,H
5,5,H,H
5,6,S,S
5,7,S,S
5,8,H,H
5,9,S,S
6,2,H,H
6,3,S,S
6,4,H,H
6,5,S,S
6,6,H,H
6,7,S,S
6,8,H,H
6,9,H,H
7,2,H,H
7,3,H,H
7,4,H,H
7,5,H,H
7,6,S,S
7,7,S,S
7,8,S,S
7,9,S,S
8,2,H,H
8,3,H,H
8,4,H,H
8,5,H,H
8,6,H,H
8,7,H,H
8,8,S,S
8,9,S,S
9,2,H,H
9,3,S,S
9,4,H,H
9,5,H,H
9,6,H,H
9,7,S,S
9,8,S,S
9,9,S,S
10,2,H,H
10,3,H,H
10,4,S,S
10,5,S,S
10,6,H,H
10,7,S,S
10,8,S,S
10,9,S,S
11,2,H,H
11,3,H,H
11,4,S,S
11,5,H,H
11,6,H,H
11,7,H,H
11,8,S,S
11,9,S,S